Short Description|CVX Code|Vaccine Status|Vaccine Group Name|CVX for Vaccine Group
DTP|01|Inactive|DTAP|107
OPV|02|Inactive|POLIO|89
MMR|03|Active|MMR|03
M/R|04|Inactive|MMR|03
measles|05|Inactive|MMR|03
rubella|06|Inactive|MMR|03
mumps|07|Inactive|MMR|03
Hep B - adolescent or pediatric|08|Active|HepB|45
Td (adult) - 2 Lf tetanus toxoid - preservative free - adsorbed|09|Active|Td|139
IPV|10|Active|POLIO|89
pneumococcal conjugate PCV 7|100|Inactive|PneumoPCV|152
typhoid - ViCPs|101|Active|TYPHOID|91
DTP-Hib-Hep B|102|Non-US|HIB|17
DTP-Hib-Hep B|102|Non-US|HepB|45
DTP-Hib-Hep B|102|Non-US|DTAP|107
meningococcal C conjugate|103|Inactive|MENING|108
Hep A-Hep B|104|Active|HepB|45
Hep A-Hep B|104|Active|HepA|85
vaccinia (smallpox) diluted|105|Inactive|VACCINIA|75
DTaP - 5 pertussis antigens|106|Active|DTAP|107
DTaP - unspecified formulation|107|Inactive|DTAP|107
meningococcal ACWY - unspecified formulation|108|Inactive|MENING|108
pneumococcal - unspecified formulation|109|Inactive|PneumoPCV|152
pneumococcal - unspecified formulation|109|Inactive|PneumoPPV|33
DTaP-Hep B-IPV|110|Active|DTAP|107
DTaP-Hep B-IPV|110|Active|HepB|45
DTaP-Hep B-IPV|110|Active|POLIO|89
influenza - live - intranasal|111|Inactive|FLU|88
Td (adult) - 5 Lf tetanus toxoid - preservative free - adsorbed|113|Active|Td|139
meningococcal MCV4P|114|Active|MENING|108
Tdap|115|Active|TDAP|115
rotavirus - pentavalent|116|Active|ROTAVIRUS|122
HPV - bivalent|118|Inactive|HPV|137
rotavirus - monovalent|119|Active|ROTAVIRUS|122
DTaP-Hib-IPV|120|Active|DTAP|107
DTaP-Hib-IPV|120|Active|HIB|17
DTaP-Hib-IPV|120|Active|POLIO|89
zoster live|121|Active|ZOSTER|188
rotavirus - unspecified formulation|122|Inactive|ROTAVIRUS|122
influenza - H5N1-1203|123|Inactive|H5N1 flu|123
Novel Influenza-H1N1-09 - nasal|125|Inactive|H1N1 flu|128
Novel influenza-H1N1-09 - preservative-free|126|Inactive|H1N1 flu|128
Novel influenza-H1N1-09|127|Inactive|H1N1 flu|128
Novel Influenza-H1N1-09 - all formulations|128|Inactive|H1N1 flu|128
Japanese Encephalitis - unspecified formulation|129|Inactive|Japanese encephalitis|129
DTaP-IPV|130|Active|POLIO|89
DTaP-IPV|130|Active|DTAP|107
DTaP-IPV-HIB-HEP B - historical|132|Inactive|POLIO|89
DTaP-IPV-HIB-HEP B - historical|132|Inactive|HepB|45
DTaP-IPV-HIB-HEP B - historical|132|Inactive|DTAP|107
DTaP-IPV-HIB-HEP B - historical|132|Inactive|HIB|17
Pneumococcal conjugate PCV 13|133|Active|PneumoPCV|152
Japanese Encephalitis IM|134|Active|Japanese encephalitis|129
Influenza - high dose seasonal|135|Active|FLU|88
Meningococcal MCV4O|136|Active|MENING|108
HPV - unspecified formulation|137|Inactive|HPV|137
Td (adult)|138|Inactive|Td|139
Td(adult) unspecified formulation|139|Inactive|Td|139
Influenza - seasonal - injectable - preservative free|140|Active|FLU|88
Influenza - seasonal - injectable|141|Active|FLU|88
Adenovirus types 4 and 7|143|Active|ADENO|82
influenza - seasonal - intradermal - preservative free|144|Active|FLU|88
DTaP,IPV,Hib,HepB|146|Active|POLIO|89
DTaP,IPV,Hib,HepB|146|Active|HIB|17
DTaP,IPV,Hib,HepB|146|Active|DTAP|107
DTaP,IPV,Hib,HepB|146|Active|HepB|45
meningococcal MCV4 - unspecified formulation|147|Inactive|MENING|108
Meningococcal C/Y-HIB PRP|148|Inactive|MENING|108
Meningococcal C/Y-HIB PRP|148|Inactive|HIB|17
influenza - live - intranasal - quadrivalent|149|Active|FLU|88
influenza - split (incl. purified surface antigen)|15|Inactive|FLU|88
influenza - injectable - quadrivalent - preservative free|150|Active|FLU|88
influenza nasal - unspecified formulation|151|Inactive|FLU|88
Pneumococcal Conjugate - unspecified formulation|152|Inactive|PneumoPCV|152
Influenza - injectable - MDCK - preservative free|153|Inactive|FLU|88
influenza - recombinant - injectable - preservative free|155|Active|FLU|88
influenza - injectable - quadrivalent|158|Active|FLU|88
influenza - whole|16|Inactive|FLU|88
